% Messparameter LVDT-Messung
%
% Version PC-Software: 1.0.4.27379
% Firmware MCU: GP22_V1.0.0
% GP22-Konfigurationsregister:
% Register 00: 03C5EA01
% Register 01: 21420000
% Register 02: 20000000
% Register 03: 18000000
% Register 04: 10000000
% Register 05: 40000000
% Register 06: 00006000
% DDS-Frequenz [Hz]: 400000
% TDC-Clock [Hz]: 4000000
% Offset: -1,149
% Faktor [mm/µs]: 2740
% Anzahl 'M' der Messwerte für Mittelwert: 10
% Grenze 'G' für Abweichung vom vorherigen Wert, ab der korrigiert wird [µs]*: 1,1
% * Tatsächlich verwendeter Wert ist: G/M. **AK ist die Anzahl korrigierter Werte.
% Messdatum: 10.11.2017 15:17:28
%
% Zeit LVDT Weg AK** Status
81.8160 0.024016 65,802729 30 0x0000
82.0170 0.025259 69,210169 30 0x0000
82.2170 0.022963 62,917902 30 0x0000
82.4190 0.024820 68,008158 30 0x0000
82.6210 0.020327 55,695383 30 0x0000
82.8210 0.025149 68,907053 30 0x0000
83.0220 0.021837 59,834482 30 0x0000
83.2220 0.022803 62,478907 30 0x0000
83.4250 0.023764 65,112879 30 0x0000
83.6240 0.023077 63,231470 30 0x0000
83.8260 0.022886 62,708857 30 0x0000
84.0260 0.024012 65,792277 30 0x0000
84.2330 0.023501 64,391672 30 0x0000
84.4290 0.022463 61,548655 30 0x0000
84.6290 0.021303 58,371165 30 0x0000
84.8300 0.021303 58,371165 31 0x0000
85.0380 0.024321 66,638911 31 0x0000
85.2320 0.020113 55,110056 31 0x0000
85.4370 0.022387 61,339609 31 0x0000
85.6360 0.022074 60,482523 31 0x0000
85.8400 0.022429 61,454584 31 0x0000
86.0410 0.022425 61,444132 31 0x0000
86.2370 0.023016 63,064234 31 0x0000
86.4430 0.022967 62,928354 31 0x0000
86.6440 0.022368 61,287348 31 0x0000
86.8400 0.023016 63,064234 31 0x0000
87.0410 0.021486 58,872874 31 0x0000
87.3320 0.021395 58,622019 31 0x0000
87.5090 0.021387 58,601115 31 0x0000
87.7090 0.024119 66,084940 31 0x0000
87.8510 0.022814 62,510264 31 0x0000
88.0460 0.021555 59,061014 31 0x0000
88.2520 0.023897 65,478708 31 0x0000
88.4480 0.021650 59,322321 31 0x0000
88.6490 0.022013 60,315287 31 0x0000
88.8550 0.023459 64,276697 31 0x0000
89.0510 0.023993 65,740015 31 0x0000
